【001請負契約】,,【001請負契約】,
"・モザイクタイル張り
※後で書く",,"・モザイクタイル張り
※後で書く",
"・マスク張り
※後で書く",,"・マスク張り
※後で書く",
"■接着剤によるタイル後張り工法（接着剤張り）
下地調整：乾燥状態であることを確認
塗付け面積の限度は、張り付け可能時間に貼り終える面積。（一般に○○分）
接着剤は下地面に○○～○○mm塗布した後、くし目ごて（角度60度立てて）を用いる。
くし目方向は、タイル裏足と平行にならないようにする。
タイルは手でもみこんだ後、たたき板や加振機で押える。
接着剤：JIS規格品で一液反応硬化型変成シリコーン樹脂系",,"■接着剤によるタイル後張り工法（接着剤張り）
下地調整：乾燥状態であることを確認
塗付け面積の限度は、張り付け可能時間に貼り終える面積。（一般に30分）
接着剤は下地面に3～5mm塗布した後、くし目ごて（角度60度立てて）を用いる。
くし目方向は、タイル裏足と平行にならないようにする。
タイルは手でもみこんだ後、たたき板や加振機で押える。
接着剤：JIS規格品で一液反応硬化型変成シリコーン樹脂系",
■タイル工事一般,,■タイル工事一般,
"・伸縮調整目地
コンクリートのひび割れ誘発目地、下地モルタルの伸縮調整目地、タイルの伸縮調整目地の位置は○○させる。
鉛直方向の目地：柱の両脇、中間部の○○~○○m程度の位置に設ける
水平方向の目地：各階ごとの打○○目地の位置に設ける",,"・伸縮調整目地
コンクリートのひび割れ誘発目地、下地モルタルの伸縮調整目地、タイルの伸縮調整目地の位置は一致させる。
鉛直方向の目地：柱の両脇、中間部の3~4m程度の位置に設ける
水平方向の目地：各階ごとの打ち継ぎ目地の位置に設ける",
"・目地詰め
目地深さ：タイル厚の1/○○以下
目地幅：○○～○○mm程度。（6mm以下だと目地押えが困難になりやすい）
目地詰めタイミング：タイル張り付け後、○○時間以上経緯した後、張り付けモルタルの硬化を見計らって行う。
※目地は、見かけの問題だけではなく、剥落防止にも重要な役目を果たす。",,"・目地詰め
目地深さ：タイル厚の1/2以下
目地幅：6～11mm程度。（6mm以下だと目地押えが困難になりやすい）
目地詰めタイミング：タイル張り付け後、24時間以上経緯した後、張り付けモルタルの硬化を見計らって行う。
※目地は、見かけの問題だけではなく、剥落防止にも重要な役目を果たす。",
・引張接着強度の基準：○○N/mm2以上,,・引張接着強度の基準：0.4N/mm2以上,
・夏季の施工の注意点：直射日光が当たらないようシート養生等にする,,・夏季の施工の注意点：直射日光が当たらないようシート養生等にする,
■■張り石工事,,■■張り石工事,
"・種類
①外○○工法：裏込めセメントモルタルで固定用ピン設置し、そのピンで石をとめる
②外○○工法：アンカーでファスナー金物固定し、金物で石をとめる
③内○○構法：",,"・種類
①外壁湿式工法：裏込めセメントモルタルで固定用ピン設置し、そのピンで石をとめる
②外壁乾式工法：アンカーでファスナー金物固定し、金物で石をとめる
③内壁空積構法：",
"・共通事項のポイント
裏込めセメントモルタルの厚さ：○○cm程度
湿式工法で目地部からセメントの水酸化カルシウムがで白○○現象の名前：エ○○",,"・共通事項のポイント
裏込めセメントモルタルの厚さ：4cm程度
湿式工法で目地部からセメントの水酸化カルシウムがで白華現象の名前：エフロレッセンス",
"・②外壁乾式工法のポイント
外壁乾式工法に用いる石材の厚さ：○○mm以上○○mm以下。（JASS9）",,"・②外壁乾式工法のポイント
外壁乾式工法に用いる石材の厚さ：30mm以上70mm以下。（JASS9）",
【021ガラス・建具・金属工事】,,【021ガラス・建具・金属工事】,
■ガラス工事,,■ガラス工事,
"・はめ込み構法の種類
①シ○○構法
②グ○○構法（グレイジング○○/グレイジング○○）
③構○○構法",,"・はめ込み構法の種類
①シーリング構法
②グレイジングガスケット構法（グレイジングチャンネル/グレイジングビード）
③構造ガスケット構法",
"・①シーリング構法のポイント
面○○ランス：ガラス面からサッシ溝の内側。
エ○○ランス：ガラス小口（エッジ）と建具枠との距離。セッティングブロックで確保する。
掛かり代：建具枠に飲み込まれるガラスの寸法
セ○○ブロック：ガラスの自重を支える材料。ガラス両端部から1/○○幅に○○箇所設置する。
バ○○材：ガラスを固定するとともに、シール打設時のシール受けの役目も果たす。",,"・①シーリング構法のポイント
面クリアランス：ガラス面からサッシ溝の内側。
エッジクリアランス：ガラス小口（エッジ）と建具枠との距離。セッティングブロックで確保する。
掛かり代：建具枠に飲み込まれるガラスの寸法
セッティングブロック：ガラスの自重を支える材料。ガラス両端部から1/4幅に2箇所設置する。
バックアップ材：ガラスを固定するとともに、シール打設時のシール受けの役目も果たす。",
"・②グレイジングガスケット構法のポイント
グレイジングチャンネル構法
戸建て住宅等で窓枠のかまちが分割できる場合、グレイジングチャンネルを利用。
水密性・気密性を高めるため、継ぎ目は上○○中央とする。
高い水密性が要求される高層ビルには適さない。
複層ガラスには適さない。（複層ガラスは重たく、セッティングブロック等がない具レイジングガスケット/ビート構法は適切な施工がしにくい）
https://www.smile-net.or.jp/kouza_sekokanri/s_keypoint/s_point_34.html",,"・②グレイジングガスケット構法のポイント
グレイジングチャンネル構法
戸建て住宅等で窓枠のかまちが分割できる場合、グレイジングチャンネルを利用。
水密性・気密性を高めるため、継ぎ目は上辺中央とする。
高い水密性が要求される高層ビルには適さない。
複層ガラスには適さない。（複層ガラスは重たく、セッティングブロック等がない具レイジングガスケット/ビート構法は適切な施工がしにくい）
https://www.smile-net.or.jp/kouza_sekokanri/s_keypoint/s_point_34.html",
"・②グレイジングビート工法のポイント
溝内への水の侵入を許容する場合に使用できる。（侵入した水は速やかに排出される構造とする）",,"・②グレイジングビート工法のポイント
溝内への水の侵入を許容する場合に使用できる。（侵入した水は速やかに排出される構造とする）",
"・③構造ガスケット構法のポイント
ジ○○ガスケットとも呼ばれる。ガラスの支持材、兼、防水材。
○○型と○○型がある。",,"・③構造ガスケット構法のポイント
ジッパーガスケットとも呼ばれる。ガラスの支持材、兼、防水材。
H型とY型がある。",
"・ガラス施工のポイント
網入りガラスのワイヤがさびないよう処理：防錆処理（下端から1/○○の小口）、下辺に水○○孔を設ける
現場内の保管方法：隙間無いように縦置き、少し斜めにしコンクリート壁に立てかけ、ロープなどを結んで固定
熱戦吸収板ガラスの特徴：熱○○しやすい",,"・ガラス施工のポイント
網入りガラスのワイヤがさびないよう処理：防錆処理（下端から1/4の小口）、下辺に水抜き孔を設ける
現場内の保管方法：隙間無いように縦置き、少し斜めにしコンクリート壁に立てかけ、ロープなどを結んで固定
熱戦吸収板ガラスの特徴：熱割れしやすい",
■建具・金属工事,,■建具・金属工事,
S○○構法：接着だけで支持する構法（こえーー。日本ではあまり普及してない）,,SSG構法：接着だけで支持する構法（こえーー。日本ではあまり普及してない）,
D○○構法：穴開けてボルト固定,,DPG構法：穴開けてボルト固定,
■アルミニウム製建具,,■アルミニウム製建具,
異○○腐食：アルミサッシ等と接触する鋼材は亜○○・塗○○をする,,異種金属接触腐食：アルミサッシ等と接触する鋼材は亜鉛メッキ・塗装をする,
ア○○腐食：コンクリートと接触するアルミサッシ等は、耐○○塗装、陽○○被膜（ア○○処理）を行う。,,アルカリ性腐食：コンクリートと接触するアルミサッシ等は、耐アルカリ性塗装、陽極酸化塗装複合被膜（アルマイト処理）を行う。,
着色陽極酸化皮膜は耐アルカリ性塗装が必須。,,着色陽極酸化皮膜は耐アルカリ性塗装が必須。,
"・工場組み立て
アルミを折り曲げ加工する場合は、厚さ○○mm以上とする。
建具の仕口や隅部の突きつけ部分の組み立ては、漏水防止のため、シーリング材・成形シール材を挟んでタッピンねじ止とする。",,"・工場組み立て
アルミを折り曲げ加工する場合は、厚さ1.5mm以上とする。
建具の仕口や隅部の突きつけ部分の組み立ては、漏水防止のため、シーリング材・成形シール材を挟んでタッピンねじ止とする。",
"・現場施工
アルミニウムに接する小ねじの材質は、ステンレスとする。
RC造への取付は、躯体埋め込みアンカーで、溶接で留める。
アンカー配置：両端から○○mm内外逃げた位置＆@○○mm以下。
取付精度：倒れ精度は±○○mmとする。
仮止め用くさび：外部建具ではモルタル充填時に必ず取り除く。屋内で水掛がない場合は、取り除かずモルタル充填OK。
シーリング材の施工：RC造のサッシ周りでは、○○面接着とする（バックアップ材なし）。S造の場合は○○面接着とする。
充填モルタル比率：セメント○○：砂○○とする。
外部建具のモルタル：防○○材入りとする。
建具枠下部のモルタル充填：水○○板、と、サ○○枠とで2回に分け行う。",,"・現場施工
アルミニウムに接する小ねじの材質は、ステンレスとする。
RC造への取付は、躯体埋め込みアンカーで、溶接で留める。
アンカー配置：両端から150mm内外逃げた位置＆@500mm以下。
取付精度：倒れ精度は±2mmとする。
仮止め用くさび：外部建具ではモルタル充填時に必ず取り除く。屋内で水掛がない場合は、取り除かずモルタル充填OK。
シーリング材の施工：RC造のサッシ周りでは、3面接着とする（バックアップ材なし）。S造の場合は2面接着とする。
充填モルタル比率：セメント1：砂3とする。
外部建具のモルタル：防水材入りとする。
建具枠下部のモルタル充填：水切り板、と、サッシ下枠とで2回に分け行う。",
■鋼製建具,,■鋼製建具,
表面板厚：溶融亜鉛めっき、板厚○○mm。,,表面板厚：溶融亜鉛めっき、板厚1.6mm。,
補強板：板厚○○mm以上,,補強板：板厚2.3mm以上,
力骨板厚○○mm、中骨板厚○○mm。,,力骨板厚2.3mm、中骨板厚1.6mm。,
枠類の板厚○○mm。,,枠類の板厚1.6mm。,
沓摺：ステンレス製、板厚○○mm。,,沓摺：ステンレス製、板厚1.5mm。,
フラッシュ戸の中骨間隔：○○mm以下。構造用接合テープで接合。,,フラッシュ戸の中骨間隔：300mm以下。構造用接合テープで接合。,
外部に面するフラッシュ戸の見込み部：○○曲げとする。,,外部に面するフラッシュ戸の見込み部：三方曲げとする。,
内部建具の見込み部：○○曲げとする。,,内部建具の見込み部：二方曲げとする。,
組み立ては一般に、○○。,,組み立ては一般に、溶接。,
小ねじ留めは、屋内・水掛りではない鋼製建具には利用可能。,,小ねじ留めは、屋内・水掛りではない鋼製建具には利用可能。,
沓摺はあらかじめ、モ○○詰めを行う,,沓摺はあらかじめ、モルタル詰めを行う,
■鋼製軽量建具,,■鋼製軽量建具,
表面板厚：○○mm以上。,,表面板厚：0.6mm以上。,
力骨板厚○○mm、中骨板厚○○mm。,,力骨板厚1.6mm、中骨板厚1.6mm。,
その他は、鋼製建具と同様。,,その他は、鋼製建具と同様。,
■シャッター,,■シャッター,
"スラット種類
①イ○○形：防○○シャッター
②オ○○形：防○○シャッター",,"スラット種類
①インターロッキング形：防火シャッター
②オーバーラッピング形：防煙シャッター",
スラット：溶融亜鉛めっき、板厚○○mm,,スラット：溶融亜鉛めっき、板厚1.6mm,
耐風圧性能高めるためには、スラットのは○○止め機構を採用する。,,耐風圧性能高めるためには、スラットのはずれ止め機構を採用する。,
電動シャッター：リ○○スイッチ、急降下制○○/停○○装置（ガ○○装置）、障害物感知装置を設ける。,,電動シャッター：リミットスイッチ、急降下制動/停止装置（ガバナー装置）、障害物感知装置を設ける。,
防火シャッター・防煙シャッター：障害物（人等）があると、停止し、なくなると動く、危○○装置を設ける。,,防火シャッター・防煙シャッター：障害物（人等）があると、停止し、なくなると動く、危害防止装置を設ける。,
【022内外装工事・屋根工事】,,【022内外装工事・屋根工事】,
■内装工事,,■内装工事,
・ボード類の張り付けのポイント,,・ボード類の張り付けのポイント,
"留め付け材：
亜鉛めっきなどの防錆処理を行ったもの。
浴室等のさびやすい箇所では、ステンレス製とする。",,"留め付け材：
亜鉛めっきなどの防錆処理を行ったもの。
浴室等のさびやすい箇所では、ステンレス製とする。",
ボード類の取付間隔,,ボード類の取付間隔,
・①GL工法のポイント,,・①GL工法のポイント,
"・ボードのジョイント処理
ジョイントコ○○を塗り付け、直ちにジ○○テープを張る
グ○○メッシュのジ○○テープを用いる場合は、ジョイントコ○○ドの下塗り省略可能。",,"・ボードのジョイント処理
ジョイントコンパウンドを塗り付け、直ちにジョイントテープを張る
グラスメッシュのジョイントテープを用いる場合は、ジョイントコンパウンドの下塗り省略可能。",
"目地処理の幅
テーパーエッジ：○○～○○mm
ベベルエッジ：○○～○○mm（これが一般的な石膏ボード。中塗り、上塗りが広いのね）",,"目地処理の幅
テーパーエッジ：200-250mm
ベベルエッジ：500-600mm（これが一般的な石膏ボード。中塗り、上塗りが広いのね）",
出隅部分：コ○○ビードを取り付ける,,出隅部分：コーナービードを取り付ける,
曲面対応：ボードの片面に○○を入れて曲げることができる。,,曲面対応：ボードの片面に切れ目を入れて曲げることができる。,
・ビニル床シート張り,,・ビニル床シート張り,
下地面は十分に乾いていること確認。モルタル下地○○日以上、コンクリート下地○○日以上。,,下地面は十分に乾いていること確認。モルタル下地14日以上、コンクリート下地28日以上。,
"シート類は○○方向に縮み、○○方向に延びる性質がある。
長めに切断して仮敷きして室温○○度以上で○○時間以上放置して、巻き癖をとって、なじませる。",,"シート類は長手方向に縮み、幅方向に延びる性質がある。
長めに切断して仮敷きして室温20度以上で24時間以上放置して、巻き癖をとって、なじませる。",
張り付け接着剤は、所定のオ○○を取り、張り付ける。,,張り付け接着剤は、所定のオープンタイムを取り、張り付ける。,
圧着棒を用いて張り付け後、45㎏ローラで圧着する。,,圧着棒を用いて張り付け後、45㎏ローラで圧着する。,
気温が○○度以下になる場合は作業NG。ヒーターで○○度以上にして施工。,,気温が5度以下になる場合は作業NG。ヒーターで10度以上にして施工。,
"湿気のある床（防湿層のない土間コンなど）は、耐水性のある反応形接着剤（エポキシ樹脂系、ウレタン樹脂系）を利用する。
エマルション形は水分の蒸発によって硬化するため多湿な場所にはNG。",,"湿気のある床（防湿層のない土間コンなど）は、耐水性のある反応形接着剤（エポキシ樹脂系、ウレタン樹脂系）を利用する。
エマルション形は水分の蒸発によって硬化するため多湿な場所にはNG。",
・ビニル床タイル張り,,・ビニル床タイル張り,
接着剤のオ○○タイム必要,,接着剤オープンタイム必要,
冬季低温時は、バーナー等でビニル床を軽く加熱しながら圧着,,冬季低温時は、バーナー等でビニル床を軽く加熱しながら圧着,
"・フローリング張り
湿度変化による膨張伸縮を考慮し、壁・巾木・敷居との取り合いには隙間を設ける",,"・フローリング張り
湿度変化による膨張伸縮を考慮し、壁・巾木・敷居との取り合いには隙間を設ける",
"・カーペット敷き
①グ○○工法：端部にグリッパーを固定し、ニーキッカーなどで張力あたえ固定
②全○○工法：接着剤で固定。はく離強度より、せん断強度を重視したカーペットを利用。
③タイルカーペット全○○工法：粘着はく離形接着剤を利用。原則市松敷き。フリーアクセスフロアのパネル目地とタイルカーペットの目地は100mm程度ずらして、またがるように張り付ける。",,"・カーペット敷き
①グリッパー工法：端部にグリッパーを固定し、ニーキッカーなどで張力あたえ固定
②全面接着工法：接着剤で固定。はく離強度より、せん断強度を重視したカーペットを利用。
③タイルカーペット全面接着工法：粘着はく離形接着剤を利用。原則市松敷き。フリーアクセスフロアのパネル目地とタイルカーペットの目地は100mm程度ずらして、またがるように張り付ける。",
"・合成樹脂塗床
下地のモルタル・コンクリートは、原則、金○○仕上げとする。（平坦にする）
下地は十分に乾燥させる
樹脂パテや樹脂モルタルで下地処理（くぼみ、隙間などを平坦化）する場合は、プライマー塗布後に行う。",,"・合成樹脂塗床
下地のモルタル・コンクリートは、原則、金鏝仕上げとする。（平坦にする）
下地は十分に乾燥させる
樹脂パテや樹脂モルタルで下地処理（くぼみ、隙間などを平坦化）する場合は、プライマー塗布後に行う。",
"塗床材の塗り工法：
流○○工法：セルフレベリング工法で平坦。実験室・化学工場等で使われる。
樹○○工法：耐荷重・耐衝撃性がよい。駐車場や倉庫など",,"塗床材の塗り工法：
流しのべ工法：セルフレベリング工法で平坦。実験室・化学工場等で使われる。
樹脂モルタル工法：耐荷重・耐衝撃性がよい。駐車場や倉庫など",
"塗床材料の種類
①弾○○塗床
②ウ○○塗床
③エ○○塗床",,"塗床材料の種類
①弾性ウレタン塗床
②ウレタン樹脂系モルタル塗床
③エポキシ樹脂モルタル塗床",
■断熱工事,,■断熱工事,
"断熱種類
①フェルト状断熱材
　グ○○ル
②ボード状断熱材
　グ○○ル
　イ○○ボード
　発○○ク（ポリスチレン、硬質ウレタン）
③吹き込み用断熱材
　吹込みグ○○ウール
　吹込みセ○○ファイバー
④現場発泡断熱材
　吹付硬質ウ○○ン",,"断熱種類
①フェルト状断熱材
　グラスウール
②ボード状断熱材
　グラスウール
　インシュレーションボード
　発泡プラスチック（ポリスチレン、硬質ウレタン）
③吹き込み用断熱材
　吹込みグラスウール
　吹込みセルロースファイバー
④現場発泡断熱材
　吹付硬質ウレタン",
"・断熱工法種類
①は○○工法
②張○○工法
③打○○工法
④吹○○工法
⑤吹○○工法",,"・断熱工法種類
①はめ込み工法
②張り付け工法
③打ち込み工法
④吹込み工法
⑤吹付け工法",
"・①はめ込み工法のポイント
根太、間柱等の間にはめ込む
隙間なく均一にはめ込む
防湿シート（ポリエチレンフィルム等）は木下地で重ね合わる。重ね代○○mm以上。",,"・①はめ込み工法のポイント
根太、間柱等の間にはめ込む
隙間なく均一にはめ込む
防湿シート（ポリエチレンフィルム等）は木下地で重ね合わる。重ね代30mm以上。",
"・②張り付け工法のポイント
断熱材前面に接着剤を塗布して張り付け（隙間があるとその部分に結露しやすい）
下地コンクリートの不陸、じゃんかは、平滑に補修。○○mm程度の不陸なら接着剤を厚く塗り対応。
窓枠などの施工困難部分は、硬質ウレタンフォームを吹き付ける。",,"・②張り付け工法のポイント
断熱材前面に接着剤を塗布して張り付け（隙間があるとその部分に結露しやすい）
下地コンクリートの不陸、じゃんかは、平滑に補修。3mm程度の不陸なら接着剤を厚く塗り対応。
窓枠などの施工困難部分は、硬質ウレタンフォームを吹き付ける。",
"・③打ち込み工法のポイント
断熱材の継ぎ目は突き付けとして、コンクリートとめとして、テープ張りなどの処理する。
断熱材の継ぎ目にコンクリートがはみ出している箇所は、現場発泡工法によりそのまま補修する。継ぎ目の隙間が大きい場合は、Vカットし、現場発泡工法で補修。
セパ等の金物類は熱橋になるため、断熱材の補修を行う。
コーン撤去後には現場発泡工法で断熱材補修する。
天井吊りボルトは、熱橋防止に樹脂製インサートを用いる。
開口部の枠回りは、現場発泡工法で、吹き付ける。",,"・③打ち込み工法のポイント
断熱材の継ぎ目は突き付けとして、コンクリートとめとして、テープ張りなどの処理する。
断熱材の継ぎ目にコンクリートがはみ出している箇所は、現場発泡工法によりそのまま補修する。継ぎ目の隙間が大きい場合は、Vカットし、現場発泡工法で補修。
セパ等の金物類は熱橋になるため、断熱材の補修を行う。
コーン撤去後には現場発泡工法で断熱材補修する。
天井吊りボルトは、熱橋防止に樹脂製インサートを用いる。
開口部の枠回りは、現場発泡工法で、吹き付ける。",
"・④吹込み工法のポイント
木造工事で、綿上のセルロースファイバーなどをホースで吹き込む。",,"・④吹込み工法のポイント
木造工事で、綿上のセルロースファイバーなどをホースで吹き込む。",
"・⑤吹付工法（現場発泡工法）
目地のない連続した断熱層が得られる。複雑な形状にも施工しやすい。
厚さが不均一になりやすい。
接着性があるため、接着剤は不要。
施工時は、換気の少ない場所では酸欠状態になりやすいので、強制換気などを行う。
施工時の温度、乾燥度が重要。吹付面の温度は○○度以上を保つ。
厚さ○○mm以下の下吹きを行う。
吹付総厚さが○○mm以上の場合は、多層吹きとする。
1日の総吹き付け厚さは○○mmを超えない範囲とする。
厚さ許容差は、○○～○○mm（マイナスは許容されない）
ワイヤゲージなどを用いて、随時厚みを測定しながら吹付る。
厚く吹きすぎた箇所は、カッターナイフなどで表層を除去する。
吹き付け厚さは、確認ピンを打つ。スラブ・壁は○○m2程度に1か所以上。柱梁の場合は○○面に1か所以上。",,"・⑤吹付工法（現場発泡工法）
目地のない連続した断熱層が得られる。複雑な形状にも施工しやすい。
厚さが不均一になりやすい。
接着性があるため、接着剤は不要。
施工時は、換気の少ない場所では酸欠状態になりやすいので、強制換気などを行う。
施工時の温度、乾燥度が重要。吹付面の温度は5度以上を保つ。
厚さ5mm以下の下吹きを行う。
吹付総厚さが30mm以上の場合は、多層吹きとする。
1日の総吹き付け厚さは80mmを超えない範囲とする。
厚さ許容差は、0～+10mm（マイナスは許容されない）
ワイヤゲージなどを用いて、随時厚みを測定しながら吹付る。
厚く吹きすぎた箇所は、カッターナイフなどで表層を除去する。
吹き付け厚さは、確認ピンを打つ。スラブ・壁は5m2程度に1か所以上。柱梁の場合は1面に1か所以上。",
■壁の鋼製下地,,■壁の鋼製下地,
"・軽量鉄骨壁下地の構成
ラ○○ナー（上下のやつ）
ス○○サー（座屈防止？）
ス○○ド（鉛直材）",,"・軽量鉄骨壁下地の構成
ランナー（上下のやつ）
スペーサー（座屈防止？）
スタッド（鉛直材）",
"・ランナーの注意点
ランナーの止付けピン間隔：@○○mm、両端部は○○mm。
ランナー継手は突きつけ。
鉄骨梁に取りつく上部ランナーは、耐火被覆後に先付け金物にタッピングねじ類等で取り付け。",,"・ランナーの注意点
ランナーの止付けピン間隔：@900mm、両端部は50mm。
ランナー継手は突きつけ。
鉄骨梁に取りつく上部ランナーは、耐火被覆後に先付け金物にタッピングねじ類等で取り付け。",
"・スタッドの注意点
スタッドの長さ制限
長さは通常○○mまで。（5m超は特殊仕様になる）
長さが○○~○○mの場合は、90形のスタッドを用いる
スタッド間隔：ボード2枚張り@○○mm、1枚張り@○○mm
上下のランナーの隙間は○○mm以下。
ランナーの水平の間隔精度は±○○mm。垂直精度は±○○mm",,"・スタッドの注意点
スタッドの長さ制限
長さは5mまで。（5m超は特殊仕様になる）
長さが4.0~4.5mの場合は、90形のスタッドを用いる
スタッド間隔：ボード2枚張り@450mm、1枚張り@300mm
上下のランナーの隙間は10mm以下。
ランナーの水平の間隔精度は±5mm。垂直精度は±2mm",
"・振れ止め、スペーサーの注意点
振れ止めの配置：床面ランナー下端から@○○mm（上部ランナーから○○mm以内は省略可能）
振れ止めフランジの向き：フランジ○○向き
スペーサー役割：スタッドの座屈防止、振れ止めの留め付け。
スペーサーの配置：上下ランナー近く＆間隔@○○mm",,"・振れ止め、スペーサーの注意点
振れ止めの配置：床面ランナー下端から@1200mm（上部ランナーから400mm以内は省略可能）
振れ止めフランジの向き：フランジ上向き
スペーサー役割：スタッドの座屈防止、振れ止めの留め付け。
スペーサーの配置：上下ランナー近く＆間隔@600mm",
"・補強材：
開口部補強
※書く",,"・補強材：
開口部補強
※書く",
■天井の鋼製下地,,■天井の鋼製下地,
"・軽量鉄骨天井下地の構成
吊○○ボルト、
野○○受、
野○○",,"・軽量鉄骨天井下地の構成
吊りボルト、
野縁受、
野縁",
"・吊りボルトの注意点
吊りボルト間隔：@○○mm程度、端部から○○mm以内。
野縁受けハンガは吊りボルトにナット○○個で挟み込み固定。
ダクトやダクト支持金物に固定・接触NG。",,"・吊りボルトの注意点
吊りボルト間隔：900mm程度、端部から150mm以内。
野縁受けハンガは吊りボルトにナット2個で挟み込み固定。
ダクトやダクト支持金物に固定・接触NG。",
"・野縁受けの注意点
野縁受けのジョイント位置は、○○配置",,"・野縁受けの注意点
野縁受けのジョイント位置は、千鳥配置",
"・野縁の注意点
野縁の幅：シングル○○mm、ダブル○○mm
野縁の高さ：○○型19mm（主に屋内）、○○型25mm（主に屋外）。※公共標仕。
野縁受けにクリップで留め付け
クリップの向きは、つめの向きを交○○にする（外れ防止）
野縁受けからのはね出しは○○mm以下とする。",,"・野縁の注意点
野縁の幅：シングル25mm、ダブル50mm
野縁の高さ：19型19mm（主に屋内）、25型25mm（主に屋外）。※公共標仕。
野縁受けにクリップで留め付け
クリップの向きは、つめの向きを交互にする（外れ防止）
野縁受けからのはね出しは150mm以下とする。",
"野縁の配置：
下地あり：ダブル野縁@○○mm&その間にシングル野縁を4本@○○mm
下地なし：ダブル野縁@○○mm&その間にシングル野縁を2本@○○mm",,"野縁の配置：
下地あり：ダブル野縁@1800mm&その間にシングル野縁を4本@360mm
下地なし：ダブル野縁@900mm&その間にシングル野縁を2本@300mm",
"・振れ止めの注意点
天井懐が○○mm以上ある場合は、振れ止めとして、
水平補強：縦横@○○mm程度
斜め補強：縦横@○○mm程度（山型を1組として。）
下がり壁などの天井の段違い箇所：間隔@○○mm程度で斜め材を固定。",,"・振れ止めの注意点
天井懐が1500mm以上ある場合は、振れ止めとして、
水平補強：縦横@1800mm程度
斜め補強：縦横@3600mm程度（山型を1組として。）
下がり壁などの天井の段違い箇所：間隔@2700mm程度で斜め材を固定。",
"・その他のポイント
構成下地材に溶接を行った場合は、錆○○塗料を塗布
高○○などで切断した場合の切断面には錆止め塗装は不要。
天井点検口などの開口部には、開口部補強が必要。",,"・その他のポイント
構成下地材に溶接を行った場合は、錆止め塗料を塗布
高速カッターなどで切断した場合の切断面には錆止め塗装は不要。
天井点検口などの開口部には、開口部補強が必要。",
■天井の脱落防止措置,,■天井の脱落防止措置,
"・特定天井の定義
①居室、廊下、その他日常的に人が立ち入る場所の天井
②高さが○○mを超える天井部分で、水平投影面積が200m2を超えるもの
③天井面構成部材等の質量が、天井面1m2あたり○○㎏を超えるもの（照明器具等も含む）",,"・特定天井の定義
①居室、廊下、その他日常的に人が立ち入る場所の天井
②高さが6mを超える天井部分で、水平投影面積が200m2を超えるもの
③天井面構成部材等の質量が、天井面1m2あたり2㎏を超えるもの（照明器具等も含む）",
"・特定天井の構造方法
①天井と周囲の壁等との間に「○○を設ける」構造方法
②天井と周囲の壁等との間に「○○を設けない」構造方法",,"・特定天井の構造方法
①天井と周囲の壁等との間に「隙間を設ける」構造方法
②天井と周囲の壁等との間に「隙間を設けない」構造方法",
"・①天井と周囲の壁等との間に「隙間を設ける」構造方法の内容
周辺壁との隙間を、○○cm以上設ける
野縁や野縁受けは、ジョイントを差し込んだうえでねじ止め。かつ○○m以上離して、○○配置。
吊り材は、天井1m2当たりの平均本数：○○本（単位面積重量が6kg以下は、0.5本）
斜め部材は算定式で必要となる組数をバランスよく配置。
天井面に段○○は設けない。（※縁を切り1cm以上のクリアランスがあればOK）",,"・①天井と周囲の壁等との間に「隙間を設ける」構造方法の内容
周辺壁との隙間を、6cm以上設ける
野縁や野縁受けは、ジョイントを差し込んだうえでねじ止め。かつ1m以上離して、千鳥配置。
吊り材は、天井1m2当たりの平均本数：1本（単位面積重量が6kg以下は、0.5本）
斜め部材は算定式で必要となる組数をバランスよく配置。
天井面に段差は設けない。（※縁を切り1cm以上のクリアランスがあればOK）",
"・②天井と周囲の壁等との間に「隙間を設けない」構造方法の内容
天井と周囲の壁が一体となり動く。
斜め部材を設けない
天井面の長さは梁間方向、桁行方向ともに○○m以下とする。",,"・②天井と周囲の壁等との間に「隙間を設けない」構造方法の内容
天井と周囲の壁が一体となり動く。
斜め部材を設けない
天井面の長さは梁間方向、桁行方向ともに20m以下とする。",
"・既存の特定天井を改修する場合
ネ○○を天井に張る、天井をワ○○で吊る、などにより落下防止する工法も認められている",,"・既存の特定天井を改修する場合
ネットを天井に張る、天井をワイヤで吊る、などにより落下防止する工法も認められている",
■壁・天井の仕上げ,,■壁・天井の仕上げ,
"・石膏ボードのジョイントの施工
ジョイントコ○○ド、ジ○○テープを用いて施工",,"・石膏ボードのジョイントの施工
ジョイントコンパウンド、ジョイントテープを用いて施工",
"・GL工法の寸法
上部：@○○~○○mm程度
下部：@○○~○○mm程度
周辺部：@○○~○○mm程度",,"・GL工法の寸法
上部：@250~300mm程度
下部：@200~250mm程度
周辺部：@150~200mm程度",
■床などの仕上げ,,■床などの仕上げ,
・床タイルの接着剤のポイント：オ○○タイムを設ける,,・床タイルの接着剤のポイント：オープンタイムを設ける,
・長尺シートの場合の事前準備：○○時間前までに、室温○○度以上で巻癖取る,,・長尺シートの場合の事前準備：24時間前までに、室温20度以上で巻癖取る,
"・塗床の工法
流しのべ工法：厚さ○○~○○mm
こて塗り工法：厚さ○○~○○mm
一般的な材料：ポリウレタン樹脂塗床材、エポキシ樹脂塗床材",,"・塗床の工法
流しのべ工法：厚さ1.5~2.0mm
こて塗り工法：厚さ4.0~6.0mm
一般的な材料：ポリウレタン樹脂塗床材、エポキシ樹脂塗床材",
■■外装工事,,■■外装工事,
